weight_mode,gate,ph_blend,ec_blend,wf_active,ho_active,n_train,n_spec,n_shock,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho,ok_hold
none,gap2_or_short,0.8,1.15,2,4,256,188,12,0.9520834065869288,0.9684470073944175,0.2591734262661735,0.13679963094992623,0.9083487035971953,0.7307797048740714,0.35445598618408125,0.30147623755400127,1.9985387744848673,0.9520834065869288,0.7307797048740714,False
shock_multi,general,0.8,1.3,2,4,256,188,12,0.9520450730685047,0.9669855092055997,0.2593579005778012,0.1384586469382703,0.9082585577100827,0.7153468502206841,0.3553432060286033,0.2995403850995727,1.9791802499405815,0.9520450730685047,0.7153468502206841,False
shock_multi,gap2_or_short,0.8,1.3,2,4,256,188,12,0.9520450730685047,0.9669855092055997,0.2593579005778012,0.1384586469382703,0.9082585577100827,0.7153468502206841,0.3553432060286033,0.2995403850995727,1.9791802499405815,0.9520450730685047,0.7153468502206841,False
shock_multi,general,0.8,1.15,2,4,256,188,12,0.9520450730685047,0.980853309785881,0.2593579005778012,0.11931367431352202,0.9082585577100827,0.6994290125099094,0.3553432060286033,0.3004978385087797,1.988754784032652,0.9520450730685047,0.6994290125099094,False
shock_multi,gap2_or_short,0.8,1.15,2,4,256,188,12,0.9520450730685047,0.980853309785881,0.2593579005778012,0.11931367431352202,0.9082585577100827,0.6994290125099094,0.3553432060286033,0.3004978385087797,1.988754784032652,0.9520450730685047,0.6994290125099094,False
shock_multi,general,0.8,1.0,2,4,256,188,12,0.9520450730685047,0.9680087957466499,0.2593579005778012,0.13825639661272893,0.9082585577100827,0.6761585446123977,0.3553432060286033,0.31905961730060955,2.1743725719509506,0.9520450730685047,0.6761585446123977,False
shock_multi,gap2_or_short,0.8,1.0,2,4,256,188,12,0.9520450730685047,0.9680087957466499,0.2593579005778012,0.13825639661272893,0.9082585577100827,0.6761585446123977,0.3553432060286033,0.31905961730060955,2.1743725719509506,0.9520450730685047,0.6761585446123977,False
shock_multi20,general,0.8,1.3,2,4,256,188,12,0.9515206628524513,0.9800100495478696,0.2614148642816241,0.12314084819160907,0.9006373620959746,0.6717848562958946,0.36345917567820835,0.3186302029753215,2.1700784286980697,0.9515206628524513,0.6717848562958946,False
shock_multi20,gap2_or_short,0.8,1.3,2,4,256,188,12,0.9515206628524513,0.9800100495478696,0.2614148642816241,0.12314084819160907,0.9006373620959746,0.6717848562958946,0.36345917567820835,0.3186302029753215,2.1700784286980697,0.9515206628524513,0.6717848562958946,False
shock_multi20,general,0.8,1.15,2,4,256,188,12,0.9515206628524513,0.9757516484815837,0.2614148642816241,0.1298341534291635,0.9006373620959746,0.6643346115439723,0.36345917567820835,0.3080709912393158,2.0644863113380127,0.9515206628524513,0.6643346115439723,False
