kind,blend,gmin,gmax,wf_active,ho_active,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho,ok_hold
ridge,0.7,2.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9559423417045692,0.890660915469517,0.27531858829888345,0.2299573976257197,1.2833503752020516,0.825955273855608,0.890660915469517,False
huber,0.85,2.25,10,0,3,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9362890206470152,0.8632190799666801,0.31237269176784926,0.19241725644654148,0.9079489109581822,0.825955273855608,0.8632190799666801,False
huber,0.85,2.25,26,0,3,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9362890206470152,0.8632190799666801,0.31237269176784926,0.19241725644654148,0.9079489109581822,0.825955273855608,0.8632190799666801,False
huber,0.85,2.5,10,0,3,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9362890206470152,0.8632190799666801,0.31237269176784926,0.19241725644654148,0.9079489109581822,0.825955273855608,0.8632190799666801,False
huber,0.85,2.5,26,0,3,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9362890206470152,0.8632190799666801,0.31237269176784926,0.19241725644654148,0.9079489109581822,0.825955273855608,0.8632190799666801,False
huber,0.85,3.0,10,0,3,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9362890206470152,0.8632190799666801,0.31237269176784926,0.19241725644654148,0.9079489109581822,0.825955273855608,0.8632190799666801,False
huber,0.85,3.0,26,0,3,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9362890206470152,0.8632190799666801,0.31237269176784926,0.19241725644654148,0.9079489109581822,0.825955273855608,0.8632190799666801,False
huber,0.85,4.0,10,0,3,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9362890206470152,0.8632190799666801,0.31237269176784926,0.19241725644654148,0.9079489109581822,0.825955273855608,0.8632190799666801,False
huber,0.85,4.0,26,0,3,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9362890206470152,0.8632190799666801,0.31237269176784926,0.19241725644654148,0.9079489109581822,0.825955273855608,0.8632190799666801,False
huber,0.6,1.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9525980678356678,0.8625552496496304,0.2875804751015115,0.2473779862222531,1.4575562611673856,0.825955273855608,0.8625552496496304,False
huber,0.6,1.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9525980678356678,0.8625552496496304,0.2875804751015115,0.2473779862222531,1.4575562611673856,0.825955273855608,0.8625552496496304,False
huber,0.6,1.5,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9525980678356678,0.8625552496496304,0.2875804751015115,0.2473779862222531,1.4575562611673856,0.825955273855608,0.8625552496496304,False
huber,0.6,1.5,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9525980678356678,0.8625552496496304,0.2875804751015115,0.2473779862222531,1.4575562611673856,0.825955273855608,0.8625552496496304,False
huber,0.6,2.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9525980678356678,0.8625552496496304,0.2875804751015115,0.2473779862222531,1.4575562611673856,0.825955273855608,0.8625552496496304,False
huber,0.6,2.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9525980678356678,0.8625552496496304,0.2875804751015115,0.2473779862222531,1.4575562611673856,0.825955273855608,0.8625552496496304,False
ridge,0.9,2.25,10,0,3,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.950019333233729,0.8620425433377041,0.2911910310914956,0.19462025169238914,0.9299788634166587,0.825955273855608,0.8620425433377041,False
ridge,0.9,2.25,26,0,3,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.950019333233729,0.8620425433377041,0.2911910310914956,0.19462025169238914,0.9299788634166587,0.825955273855608,0.8620425433377041,False
ridge,0.9,2.5,10,0,3,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.950019333233729,0.8620425433377041,0.2911910310914956,0.19462025169238914,0.9299788634166587,0.825955273855608,0.8620425433377041,False
